"name","n","age","female_percent","EUR_percent"
"median_value",19079,60.21,43.78,69.52
"median_value",18648,60.06,44.37,68.81
"median_value",19060,60.08,44.14,69.07
"median_value",19062,60.08,44.17,69.08
